fna,gna,nam,fun,fdc,sag,latitud,longitud
Estación Tres Cuervos,Estación,Tres Cuervos,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.71203017300000226),-63.06354722
Estación Trongé,Estación,Trongé,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.46502736799990174),-62.48426095
Estación La Zanja,Estación,La Zanja,2,OSM/Ministerio de Transporte de la Nación,IGN,-36.05187443199999819),-62.87715481
Estación Lerlora,Estación,Lerlora,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.92075456799990008),-62.97967755
Estación Trenque Lauquen,Estación,Trenque Lauquen,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.96734440499989915),-62.73718439
Estación Primera Junta,Estación,Primera Junta,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.9175984179999972),-62.63708018
Estación Berutti,Estación,Berutti,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.85724091799990276),-62.51206649
Estación Pellegrini,Estación,Pellegrini,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.27061596099999718),-63.16041107
Estación Tres Lomas,Estación,Tres Lomas,6,IGN/Ministerio de Transporte de la Nación,IGN,-36.45667604100000148),-62.86555986
Estación Girodias,Estación,Girodias,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.36682659899999948),-62.35618591
Estación Masurel,Estación,Masurel,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.50958884199999943),-62.17407958
Estación 30 de Agosto,Estación,30 de Agosto,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.27830576600000256),-62.54922937
Estación Mari Lauquen,Estación,Mari Lauquen,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.12984677299989755),-62.97723325
Estación Bocayuva,Estación,Bocayuva,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.20797914199989975),-63.07784416
Estación Sundblad,Estación,Sundblad,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.76344932199990012),-63.14031018
Estación Labardén,Estación,Labardén,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.95182769000000178),-58.09367105
Estación General Pirán,Estación,General Pirán,6,IGN/Trenes Argentinos,IGN,-37.27684918700000338),-57.77878846
Estación Ayacucho,Estación,Ayacucho,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.15007196499990272),-58.47317458
Estación San Ignacio,Estación,San Ignacio,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.34110374999990256),-58.42355767
Estación Fair,Estación,Fair,2,IGN/Ministerio de Transporte de la Nación,IGN,-37.06733401599999667),-58.30294862
Estación Langeyú,Estación,Langeyú,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.66992501699999707),-58.5283102
Estación Solanet,Estación,Solanet,2,IGN/Ministerio de Transporte de la Nación,IGN,-36.8429113870000009),-58.50775042
Estación Achupallas,Estación,Achupallas,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.10712390500000168),-60.07036869
Estación Indacochea,Estación,Indacochea,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.05432498900000127),-60.05850364
Estación Baudrix,Estación,Baudrix,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.2400794349999984),-60.30220807
Estación Anderson,Estación,Anderson,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.28010889599990207),-60.26193874
Estación Gobernador Ugarte,Estación,Gobernador Ugarte,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.16108118700000063),-60.08203443
Estación Plá,Estación,Plá,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.12430288199990258),-60.219436
Estación Andrés Vaccarezza,Estación,Andrés Vaccarezza,6,IIGN/Trenes Argentinos,IGN,-35.03470215299999779),-60.27738651
Estación Presidente Quintana,Estación,Presidente Quintana,2,IGN/Ministerio de Transporte de la Nación,IGN,-35.2229273290000009),-60.19146875
Estación Benítez,Estación,Benítez,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.96698818499989869),-60.12734429
Estación Diego Gaynor,Estación,Diego Gaynor,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.28679420000000277),-59.22198366
Estación Chenaut,Estación,Chenaut,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.24792669299999659),-59.21767819
Estación Cucullú,Estación,Cucullú,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.44294069099989741),-59.35708264
Estación Azcuénaga,Estación,Azcuénaga,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.36674025199990012),-59.37531645
Estación Arroyo de la Cruz,Estación,Arroyo de la Cruz,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.33010467599999771),-59.11390037
Estación Solís,Estación,Solís,2,IGN/Ministerio de Transporte de la Nación,IGN,-34.29532027999989907),-59.32068145
