DIA_TRANSPORTE,NOMBRE_EMPRESA,LINEA,AMBA,TIPO_TRANSPORTE,JURISDICCION,PROVINCIA,MUNICIPIO,CANTIDAD,DATO_PRELIMINAR,MES_NUMERO,MES_NOMBRE,DIA_SEMANA,TIPO_DIA,ESTACION
2025-01-06,EXPRESO LA PLATA BUENOS AIRES S.A.,BSAS_LINEA_518,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,461,NO,1,Enero,Lunes,Día de semana,Verano
2025-01-06,UNION PLATENSE SRL,BSAS_LINEA_520C,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,9008,NO,1,Enero,Lunes,Día de semana,Verano
2025-01-06,EMPRESA NUEVE DE JULIO S.A.T.,BSAS_LINEA_561B,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,601,NO,1,Enero,Lunes,Día de semana,Verano
2025-01-06,EMPRESA NUEVE DE JULIO S.A.T.,LINEA OESTE,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,43380,NO,1,Enero,Lunes,Día de semana,Verano
2025-01-06,FUERTE BARRAGAN S.A.T.I.C.I.,LINEA_506F_BSAS,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,8652,NO,1,Enero,Lunes,Día de semana,Verano
2025-01-06,UNION PLATENSE SRL,NORTE MUNICIPAL,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,9180,NO,1,Enero,Lunes,Día de semana,Verano
2025-01-07,UNION PLATENSE SRL,BSAS_LINEA_502_SUR,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,7726,NO,1,Enero,Martes,Día de semana,Verano
2025-01-07,MICROEXPRES S.A.,BSAS_LINEA_503_ESTE,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,5031,NO,1,Enero,Martes,Día de semana,Verano
2025-01-07,EXPRESO LA PLATA BUENOS AIRES S.A.,BSAS_LINEA_503E,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,20083,NO,1,Enero,Martes,Día de semana,Verano
2025-01-07,EMPRESA NUEVE DE JULIO S.A.T.,BSAS_LINEA_508C,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,478,NO,1,Enero,Martes,Día de semana,Verano
2025-01-07,EXPRESO LA PLATA BUENOS AIRES S.A.,BSAS_LINEA_518,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,526,NO,1,Enero,Martes,Día de semana,Verano
2025-01-07,UNION PLATENSE SRL,BSAS_LINEA_520C,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,8864,NO,1,Enero,Martes,Día de semana,Verano
2025-01-07,EMPRESA NUEVE DE JULIO S.A.T.,BSAS_LINEA_561B,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,571,NO,1,Enero,Martes,Día de semana,Verano
2025-01-07,EMPRESA NUEVE DE JULIO S.A.T.,LINEA OESTE,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,41687,NO,1,Enero,Martes,Día de semana,Verano
2025-01-07,FUERTE BARRAGAN S.A.T.I.C.I.,LINEA_506F_BSAS,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,8348,NO,1,Enero,Martes,Día de semana,Verano
2025-01-07,UNION PLATENSE SRL,NORTE MUNICIPAL,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,8797,NO,1,Enero,Martes,Día de semana,Verano
2025-01-08,UNION PLATENSE SRL,BSAS_LINEA_502_SUR,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,8322,NO,1,Enero,Miércoles,Día de semana,Verano
2025-01-08,MICROEXPRES S.A.,BSAS_LINEA_503_ESTE,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,4777,NO,1,Enero,Miércoles,Día de semana,Verano
2025-01-08,EXPRESO LA PLATA BUENOS AIRES S.A.,BSAS_LINEA_503E,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,20326,NO,1,Enero,Miércoles,Día de semana,Verano
2025-01-08,EMPRESA NUEVE DE JULIO S.A.T.,BSAS_LINEA_508C,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,420,NO,1,Enero,Miércoles,Día de semana,Verano
2025-01-08,EXPRESO LA PLATA BUENOS AIRES S.A.,BSAS_LINEA_518,SI,COLECTIVO,MUNICIPAL,BUENOS AIRES,LA PLATA,547,NO,1,Enero,Miércoles,Día de semana,Verano
